hrv_mean_nni,hrv_median_nni,hrv_range_nni,hrv_sdsd,hrv_rmssd,hrv_pnni_50,hrv_pnni_20,hrv_cvsd,hrv_sdnn,hrv_cvnni,hrv_std_hr,hrv_total_power,hrv_lf,hrv_peaks,hrv_hf,hrv_mean,hrv_std,hrv_max,hrv_ptp,hrv_rms,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_svd_entropy,acc_x_mean,acc_x_min,acc_x_sum,acc_x_skewness,acc_x_n_sign_changes,acc_x_pct_5,acc_x_pct_95,acc_x_svd_entropy,acc_y_mean,acc_y_min,acc_y_max,acc_y_sum,acc_y_pct_5,acc_y_pct_95,acc_z_n_sign_changes,l2_pct_5,Stress
655.1216641,656.25,1015.625,77.52804409,77.52818423,25.74568289,59.96860283,0.118341658,98.66699458,0.150608658,14.61052598,6154.484043,1651.174076,167,1086.922343,655.1216641,98.58951754,1359.375,1015.625,662.498519,109.375,328.125,531.25,859.375,0.357499873,826486.612,-81,1586854295,43.78356451,55,-56,19.05,1,826468.0573,-91,1586886712,1586818670,-72,47,85,52.47523024,0
655.2918632,656.25,1015.625,77.84137322,77.84151322,25.47169811,59.74842767,0.118789073,98.22138837,0.149889528,14.51884392,6128.164629,1647.174336,166,1114.500657,655.2918632,98.14413992,1359.375,1015.625,662.600708,109.375,328.125,531.25,859.375,0.357772203,826486.7365,-81,1586854534,43.78356451,55,-56,19.05,1,826466.938,-91,1586886712,1586816521,-72,47,95,52.64646037,0
655.7103611,656.25,1015.625,77.95269766,77.95283703,25.74568289,60.1255887,0.118883034,98.03579974,0.149510829,14.49453968,6081.294918,1645.737371,167,1091.885837,655.7103611,97.95881834,1359.375,1015.625,662.9871852,109.375,328.125,531.25,859.375,0.357891704,826486.5604,-81,1586854196,43.78356451,55,-56,19.05,1,826467.0307,-91,1586886712,1586816699,-71.05,47,101,52.6948754,0
656.693612,656.25,1015.625,78.40821278,78.40835266,25.86750789,60.41009464,0.119398683,98.05222143,0.149311977,14.49030481,6063.835412,1608.41032,165,1128.05994,656.693612,97.97486266,1359.375,1015.625,663.9620273,109.375,328.125,531.25,859.375,0.359566775,826486.2958,-81,1586853688,43.78356451,48,-56,19.05,1,826467.087,-91,1586886712,1586816807,-71.05,47,105,52.6948754,0
657.6097706,656.25,1015.625,78.62100605,78.62114644,26.42405063,60.44303797,0.119555928,98.05515025,0.149108415,14.47569175,6062.545173,1570.755159,163,1169.584765,657.6097706,97.97754426,1359.375,1015.625,664.8685656,109.375,328.125,531.25,859.375,0.360909089,826486.1516,-81,1586853411,43.78356451,48,-56,19.05,1,826467.1635,-91,1586886712,1586816954,-71.05,47,107,52.6948754,0
657.9232283,656.25,1015.625,78.42004426,78.42018367,26.2992126,60.15748031,0.119193517,97.83568513,0.148703801,14.44115398,6042.10936,1548.596331,164,1171.654066,657.9232283,97.75861881,1359.375,1015.625,665.1463914,109.375,328.125,531.25,859.375,0.360027627,826485.9151,-81,1586852957,43.78356451,48,-56,19.05,1,826467.2036,-91,1586886712,1586817031,-71.05,47,111,52.6948754,0
658.0896782,656.25,1015.625,78.35055734,78.350696,26.2166405,59.96860283,0.11905778,97.77492699,0.148573865,14.4306414,6038.552562,1541.04453,164,1179.601064,658.0896782,97.69815044,1359.375,1015.625,665.3021518,109.375,328.125,531.25,859.375,0.359570569,826485.5943,-81,1586852341,43.78356451,47,-56,19.05,1,826467.2823,-91,1586886712,1586817182,-71.05,47,111,52.71527277,0
658.3496094,656.25,1015.625,78.25435218,78.25448971,26.09375,60,0.118864641,97.65528413,0.148333473,14.41284734,6019.992229,1531.900544,164,1180.359981,658.3496094,97.57896111,1359.375,1015.625,665.5417807,109.375,328.125,531.25,859.375,0.359413624,826484.9349,-81,1586851075,43.78356451,47,-56,19.05,1,826467.3276,-91,1586886712,1586817269,-71.05,47,116,52.71527277,0
658.6519798,656.25,1015.625,78.1515896,78.1517256,25.77639752,60.0931677,0.118654051,97.43164013,0.147925829,14.3832436,6007.955567,1540.425547,165,1179.705372,658.6519798,97.35596506,1359.375,1015.625,665.8082415,109.375,325.78125,531.25,857.03125,0.358427335,826484.9365,-81,1586851078,43.78356451,46,-56,19.05,1,826467.0443,-91,1586886712,1586816725,-71,47,120,53.12249994,0
658.7171053,656.25,1015.625,78.15150758,78.15164274,26.16099071,60.21671827,0.118642194,97.34681059,0.147782424,14.37117431,5987.12165,1544.645197,167,1179.965065,658.7171053,97.27143558,1359.375,1015.625,665.8603134,109.375,324.21875,531.25,855.46875,0.359585191,826485.1859,-81,1586851557,43.78356451,46,-56,19.05,1,826465.1703,-91,1586886712,1586813127,-71,43.05,116,53.16906992,0
